placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2025-01-14 00:00:00,2025-01-15 00:00:00,25,1,4,1,2,1,0,3,4,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-15 00:00:00,2025-01-16 00:00:00,61,0,11,5,3,13,6,6,5,0,0,0,2,0,2,1,5,0,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-16 00:00:00,2025-01-17 00:00:00,30,0,0,1,0,5,2,8,4,5,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-17 00:00:00,2025-01-18 00:00:00,34,0,5,1,5,6,4,3,1,3,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-18 00:00:00,2025-01-19 00:00:00,56,0,5,5,6,9,5,8,7,3,0,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-19 00:00:00,2025-01-20 00:00:00,68,0,9,6,10,7,8,9,6,5,0,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-20 00:00:00,2025-01-21 00:00:00,17,0,1,0,1,1,1,1,1,6,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-21 00:00:00,2025-01-22 00:00:00,25,0,0,0,3,0,0,1,7,8,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-22 00:00:00,2025-01-23 00:00:00,21,0,5,1,1,0,3,3,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-23 00:00:00,2025-01-24 00:00:00,8,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-24 00:00:00,2025-01-25 00:00:00,45,0,4,2,1,5,3,7,9,9,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-25 00:00:00,2025-01-26 00:00:00,45,0,4,2,4,7,3,9,9,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-26 00:00:00,2025-01-27 00:00:00,43,0,4,1,5,6,4,3,11,3,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-27 00:00:00,2025-01-28 00:00:00,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-28 00:00:00,2025-01-29 00:00:00,24,0,7,0,2,2,4,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
